Structure,Best_structure
1ilh,None
1m13,refinement_1
1nrl,refinement_1
1skx,refinement_1
2o9i,unrefined
2qnv,refinement_1
3hvl,refinement_1
3r8d,refinement_1
4j5x,None
4ny9,refinement_1
4s0t,refinement_1
4x1f,refinement_1
4x1g,refinement_1
4xhd,refinement_1
5a86,refinement_1
5x0r,refinement_1
6bns,refinement_1
6dup,refinement_1
6hj2,refinement_1
6hty,unrefined
6nx1,unrefined
6p2b,refinement_1
6s41,unrefined
6tfi,refinement_2
6xp9,unrefined
7ax9,refinement_1
7axa,refinement_1
7axb,refinement_1
7axc,refinement_1
7axd,refinement_1
7axe,refinement_1
7axf,refinement_1
7axg,unrefined
7axh,refinement_1
7axi,unrefined
7axj,unrefined
7axk,unrefined
7axl,unrefined
7n2a,refinement_1
7rio,refinement_1
7riu,unrefined
7riv,refinement_1
7yfk,unrefined
8cct,refinement_2
8cf9,refinement_2
8ch8,unrefined
8e3n,refinement_2
8eqz,refinement_1
8f5y,unrefined
8fpe,unrefined
8r00,unrefined
8r81,refinement_1
8r82,refinement_1
8svo,refinement_1
8svp,refinement_2
8svq,refinement_2
8svr,refinement_1
8svs,refinement_2
8svt,refinement_1
8svx,refinement_1
8szv,unrefined
9beq,unrefined
9fzg,unrefined
9fzh,unrefined
9fzi,refinement_1
9fzj,refinement_1
